chr	start	end	fisher.p.value	tmr.ratio	nor.ratio	OR	CI_95_L	CI_95_H	cytoband	DM.band.	CpGi	DM.island.	closest.TSS	pos	dir	dist	overlapped.TSS	overlapped.pos	ovrl.dir	norm.700.reads.min	norm.700.reads.25q	norm.700.reads.med	norm.700.reads.75q	norm.700.reads.max	tumor.700.reads.min	tumor.700.reads.25q	tumor.700.reads.med	tumor.700.reads.75q	tumor.700.reads.max
chr1	1609501	1609600	1.44122092033791e-10	0.84	0.08	55.2917459460206	10.6421667725836	571.024734819671	p36.33	FALSE	NA	NA	MMP23A	1631378	+	-21777	NA	NA	NA	1	6	10	13	61	7	26.25	34	59.75	333
chr1	1609601	1609700	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	p36.33	FALSE	NA	NA	MMP23A	1631378	+	-21677	NA	NA	NA	0	2	5	9	45	0	14	24.5	39.75	220
chr1	2232301	2232400	1.22651686533341e-09	0.76	0.04	70.8881388973918	9.66944701735788	3140.66464310385	p36.33	FALSE	NA	NA	LOC100129534	2284100	-	51699	NA	NA	NA	0	2	7	13	21	2	22.25	40	53.5	198
chr1	2232401	2232500	1.5465108320584e-09	0.8	0.08	42.7909294467574	8.487997443863	433.284722627506	p36.33	FALSE	CpG: 23.chr1.2232310	TRUE	LOC100129534	2284100	-	51599	NA	NA	NA	0	2	6	13	20	3	23	40	53	223
chr1	2232501	2232600	4.90291528434817e-10	0.82	0.08	48.3908791298453	9.46682171873007	494.778253957172	p36.33	FALSE	CpG: 23.chr1.2232310	TRUE	LOC100129534	2284100	-	51499	NA	NA	NA	0	2	6	12	20	2	19.5	30.5	40	181
chr1	2232601	2232700	4.90291528434817e-10	0.82	0.08	48.3908791298453	9.46682171873007	494.778253957172	p36.33	FALSE	NA	NA	LOC100129534	2284100	-	51399	NA	NA	NA	0	2	5	11	19	2	18	28	37	149
chr1	6515501	6515600	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	p36.31	FALSE	CpG: 231.chr1.6514108	TRUE	TNFRSF25	6526255	-	10654	NA	NA	NA	0	1	3	6	26	0	10.25	22	56	222
chr1	6515601	6515700	1.22651686533341e-09	0.76	0.04	70.8881388973918	9.66944701735788	3140.66464310385	p36.31	FALSE	CpG: 231.chr1.6514108	TRUE	TNFRSF25	6526255	-	10554	NA	NA	NA	0	1	5	8	26	0	11	29.5	58.5	250
chr1	18959201	18959300	3.10657442506465e-11	0.82	0.04	99.8679694024754	13.2212475876335	4458.66901990027	p36.13	FALSE	CpG: 205.chr1.18956895	TRUE	PAX7	18957500	+	1700	PAX7	18957500	+	0	2	5	9	37	0	18.25	37	61.5	275
chr1	18959301	18959400	8.66448648556534e-12	0.84	0.04	113.949251987501	14.8727175768086	5104.50600631386	p36.13	FALSE	CpG: 205.chr1.18956895	TRUE	PAX7	18957500	+	1800	PAX7	18957500	+	0	2	5	10	34	0	20.25	34.5	63.25	302
chr1	18959401	18959500	3.10657442506465e-11	0.82	0.04	99.8679694024754	13.2212475876335	4458.66901990027	p36.13	FALSE	CpG: 205.chr1.18956895	TRUE	PAX7	18957500	+	1900	PAX7	18957500	+	0	1	5	9	46	0	21	40	67.75	381
chr1	18959501	18959600	8.66448648556534e-12	0.84	0.04	113.949251987501	14.8727175768086	5104.50600631386	p36.13	FALSE	CpG: 205.chr1.18956895	TRUE	PAX7	18957500	+	2000	PAX7	18957500	+	0	1	5	9	48	0	22	40	67.75	394
chr1	18959601	18959700	8.66448648556534e-12	0.84	0.04	113.949251987501	14.8727175768086	5104.50600631386	p36.13	FALSE	CpG: 205.chr1.18956895	TRUE	PAX7	18957500	+	2100	PAX7	18957500	+	0	1	4	8	46	0	20.25	38.5	67.5	384
chr1	18959701	18959800	2.64014823659888e-13	0.84	0	Inf	24.497143179789	Inf	p36.13	FALSE	CpG: 205.chr1.18956895	TRUE	PAX7	18957500	+	2200	PAX7	18957500	+	0	1	3	6	34	0	16.25	31.5	56.5	359
chr1	22140901	22141000	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	p36.12	FALSE	CpG: 49.chr1.22140891	TRUE	LDLRAD2	22138758	+	2142	LDLRAD2	22138758	+	2	4	8	11	69	7	15.25	27.5	51.5	248
chr1	22141001	22141100	3.20842014340376e-10	0.78	0.04	78.9053616466483	10.6781983320746	3503.52686079878	p36.12	FALSE	CpG: 49.chr1.22140891	TRUE	LDLRAD2	22138758	+	2242	LDLRAD2	22138758	+	2	5	8	13	55	3	17.25	27	54.25	262
chr1	32237601	32237700	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	p35.2	FALSE	NA	NA	ADGRB2	32229648	-	-7952	NA	NA	NA	0	1	4	5	13	0	11.25	34	68.5	360
chr1	32237701	32237800	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	p35.2	FALSE	NA	NA	ADGRB2	32229648	-	-8052	NA	NA	NA	0	1	2	5	13	0	13.25	37	69.5	480
chr1	32237801	32237900	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	p35.2	FALSE	NA	NA	ADGRB2	32229648	-	-8152	NA	NA	NA	0	1	2	5	13	0	13.5	36	69.5	480
chr1	32237901	32238000	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	p35.2	FALSE	CpG: 75.chr1.32237827	TRUE	ADGRB2	32229648	-	-8252	NA	NA	NA	0	1	2	4	11	0	14.5	34.5	69.5	494
chr1	32238001	32238100	1.14246414601915e-11	0.78	0	Inf	17.543080161823	Inf	p35.2	FALSE	CpG: 75.chr1.32237827	TRUE	ADGRB2	32229648	-	-8352	NA	NA	NA	0	1	2	4	11	0	17	37	68.5	500
chr1	35586401	35586500	3.20842014340376e-10	0.78	0.04	78.9053616466483	10.6781983320746	3503.52686079878	p34.3	FALSE	CpG: 25.chr1.35586331	TRUE	ZMYM1	35544972	+	41428	NA	NA	NA	0	5	8	14	49	4	14.5	26.5	38.75	107
chr1	36042901	36043000	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	p34.3	FALSE	CpG: 89.chr1.36042432	TRUE	TFAP2E	36038971	+	3929	TFAP2E	36038971	+	0	0	1	3	9	0	10	31	54.5	149
chr1	36043001	36043100	1.14246414601915e-11	0.78	0	Inf	17.543080161823	Inf	p34.3	FALSE	CpG: 89.chr1.36042432	TRUE	TFAP2E	36038971	+	4029	TFAP2E	36038971	+	0	0	1	2	10	0	10.25	34	54.25	147
chr1	36043101	36043200	1.14246414601915e-11	0.78	0	Inf	17.543080161823	Inf	p34.3	FALSE	CpG: 89.chr1.36042432	TRUE	TFAP2E	36038971	+	4129	TFAP2E	36038971	+	0	0	1	2	8	0	9.5	27	53.5	141
chr1	38230401	38230500	3.20842014340376e-10	0.78	0.04	78.9053616466483	10.6781983320746	3503.52686079878	p34.3	FALSE	CpG: 77.chr1.38229838	TRUE	EPHA10	38230824	-	323	EPHA10	38230824	-	0	3	6	10	37	0	18.5	30.5	56.5	337
chr1	38940701	38940800	4.59981762113985e-10	0.86	0.12	41.3756238439278	9.26195490731702	273.061448028954	p34.3	FALSE	NA	NA	LINC01343	38680439	-	-260261	NA	NA	NA	1	7	9	13	62	0	22	34.5	55	263
chr1	38940801	38940900	4.59981762113985e-10	0.86	0.12	41.3756238439278	9.26195490731702	273.061448028954	p34.3	FALSE	NA	NA	LINC01343	38680439	-	-260361	NA	NA	NA	1	7	9	13	62	0	21.25	34.5	56	262
chr1	38940901	38941000	4.59981762113985e-10	0.86	0.12	41.3756238439278	9.26195490731702	273.061448028954	p34.3	FALSE	NA	NA	LINC01343	38680439	-	-260461	NA	NA	NA	0	6	8	11	62	0	21.25	34.5	56	263
chr1	38941001	38941100	3.88355353403929e-11	0.86	0.08	64.0101891823486	12.0659412433866	667.703773471697	p34.3	FALSE	NA	NA	LINC01343	38680439	-	-260561	NA	NA	NA	0	6	7	10	66	1	22	34.5	52	264
