chr	start	end	shortlist	type	wilcoxon.p.value	hyper.	fisher.p.value	tmr.ratio	nor.ratio	OR	CI_95_L	CI_95_H	cytoband	DM.band?	closest.TSS	pos	dir	dist	overlapped.TSS	overlapped.pos	ovrl.dir
chr1	2177438	2178509	FALSE	NHLF	3.80347805794297e-05	TRUE	0.000211105795280745	0.66	0.2	7.53414803430194	2.2416209209077	30.3619082193218	p36.33	FALSE	SKI	2160134	+	17303	NA	NA	NA
chr1	8062988	8067408	FALSE	H2171	0.00109487985529326	FALSE	0.000660747172908523	0.38	0.8	0.157347633837847	0.0393599337693368	0.525212222824844	p36.23	FALSE	ERRFI1	8086393	-	18984	NA	NA	NA
chr1	8063916	8066094	FALSE	IMR90	0.000113105828810829	FALSE	0.000660747172908523	0.38	0.8	0.157347633837847	0.0393599337693368	0.525212222824844	p36.23	FALSE	ERRFI1	8086393	-	20298	NA	NA	NA
chr1	15504215	15507317	FALSE	IMR90	0.0145057516986853	TRUE	0.000369813503660885	0.56	0.12	9.06430299325063	2.28854827962885	53.3824920627634	p36.21	FALSE	TMEM51	15479028	+	25186	NA	NA	NA
chr1	15504495	15506745	FALSE	NHLF	0.00380307406239911	TRUE	0.000369813503660885	0.56	0.12	9.06430299325063	2.28854827962885	53.3824920627634	p36.21	FALSE	TMEM51	15479028	+	25466	NA	NA	NA
chr1	21724154	21724935	FALSE	HeLa	0.000186245665233585	TRUE	0.00117974174723849	0.88	0.52	6.56105844484801	1.85679069864813	25.9304559001199	p36.12	FALSE	NBPF3	21766583	+	-41647	NA	NA	NA
chr1	25829829	25833105	FALSE	H2171	0.00109487985529326	FALSE	0.000802829889473551	0.14	0.52	0.154998349705792	0.0417501596885876	0.524513315258947	p36.11	FALSE	LDLRAP1	25870076	+	-36970	NA	NA	NA
chr1	35586380	35586900	FALSE	NHLF	1.9385297675702e-06	TRUE	2.687389561362e-05	0.88	0.4	10.5415048221281	2.99708453624607	42.4943085652884	p34.3	FALSE	ZMYM1	35544972	+	41407	NA	NA	NA
chr1	66992475	67031615	TRUE	NHLF	5.59688545971611e-05	TRUE	8.1706606386889e-07	0.62	0.04	37.4440610039254	5.26196598456985	1645.61659177298	p31.3	FALSE	SGIP1	66999825	+	0	SGIP1	66999825	+
chr1	66997317	67031131	TRUE	IMR90	3.62221719498394e-05	TRUE	8.1706606386889e-07	0.62	0.04	37.4440610039254	5.26196598456985	1645.61659177298	p31.3	FALSE	SGIP1	66999825	+	0	SGIP1	66999825	+
chr1	72746677	72751915	TRUE	NHLF	0.00035917893012503	TRUE	1.06145604312098e-05	0.46	0	Inf	4.57038841152789	Inf	p31.1	FALSE	NEGR1	72748405	-	0	NEGR1	72748405	-
chr1	72748533	72751387	FALSE	HeLa	0.000826955006329069	TRUE	1.06145604312098e-05	0.46	0	Inf	4.57038841152789	Inf	p31.1	FALSE	NEGR1	72748405	-	-127	NEGR1	72748405	-
