"id"	"chr"	"start"	"end"	"wilcoxon.p.value"	"hyper."	"fisher.p.value"	"tmr.ratio"	"nor.ratio"	"OR"	"CI_95_L"	"CI_95_H"	"cytoband"	"DM.band?"	"closest.TSS"	"pos"	"dir"	"dist"	"overlapped.TSS"	"overlapped.pos"	"ovrl.dir"
"24.chr1.801975"	"chr1"	801976	802338	0.000647142853115032	FALSE	0.0324278614006187	0.64	0.88	0.246553073499106	0.0415563218579212	0.996838944050401	"p36.33"	FALSE	"FAM41C"	812182	"-"	9843	NA	NA	NA
"16.chr1.854765"	"chr1"	854766	854973	0.0341279140148013	FALSE	0.00699880938640434	0.42	0.76	0.233360035906701	0.0646131274410058	0.739754762513226	"p36.33"	FALSE	"LOC100130417"	854817	"-"	0	"LOC100130417, SAMD11"	"854817, 860530"	"-, +"
"178.chr1.869332"	"chr1"	869333	871872	0.0567780510029168	FALSE	0.00841090306010841	0.14	0.44	0.212354457205935	0.057287131726123	0.730928300874726	"p36.33"	FALSE	"SAMD11"	860530	"+"	8802	NA	NA	NA
"413.chr1.933387"	"chr1"	933388	937410	0.00366913923365207	TRUE	0.0154477654183987	0.54	0.24	3.65238047726897	1.15425884952445	13.1458260227503	"p36.33"	FALSE	"HES4"	935552	"-"	0	"HES4"	"935552"	"-"
"183.chr1.1098043"	"chr1"	1098044	1100584	0.00504513186380537	FALSE	0.711153311498331	0.88	0.92	0.641270052482456	0.0588114929782012	3.96731494823499	"p36.33"	FALSE	"MIR200B"	1102484	"+"	-1899	"MIR200A, MIR200B, MIR429"	"1103243, 1102484, 1104385"	"+, +, +"
"59.chr1.1109314"	"chr1"	1109315	1110145	0.000178096552028641	TRUE	1	0.98	0.96	2.02078291159305	0.0249783417144258	163.257407501336	"p36.33"	FALSE	"TTLL10"	1109286	"+"	28	"TTLL10, MIR200A, MIR200B, MIR429"	"1109286, 1103243, 1102484, 1104385"	"+, +, +, +"
"25.chr1.1145568"	"chr1"	1145569	1145878	0.0350900175284123	FALSE	0.00649431751833322	0.62	0.92	0.145035995214132	0.014908774732154	0.700214290621271	"p36.33"	FALSE	"TNFRSF18"	1142089	"-"	-3479	"TNFRSF4, TNFRSF18"	"1149548, 1142089"	"-, -"
"38.chr1.1149055"	"chr1"	1149056	1149524	0.00540816883427983	TRUE	0.00148503172859828	0.3	0	Inf	2.25470923733567	Inf	"p36.33"	FALSE	"TNFRSF4"	1149548	"-"	23	"TNFRSF4, TNFRSF18"	"1149548, 1142089"	"-, -"
"32.chr1.1474962"	"chr1"	1474963	1475220	0.00760164147522017	TRUE	0.000413172993684716	0.42	0.04	16.889341938438	2.36507398181105	745.255237062324	"p36.33"	FALSE	"TMEM240"	1475740	"-"	519	"TMEM240"	"1475740"	"-"
"33.chr1.1563674"	"chr1"	1563675	1564032	0.00394143687367523	FALSE	0.106507983013898	0.64	0.84	0.343196201603803	0.0740543447634452	1.24778466836267	"p36.33"	FALSE	"MMP23B"	1567560	"+"	-3527	"MMP23B"	"1567560"	"+"
"26.chr1.2222198"	"chr1"	2222199	2222569	0.00454178085570983	TRUE	6.79150863355674e-05	0.4	0	Inf	3.56785685413096	Inf	"p36.33"	FALSE	"LOC100129534"	2284100	"-"	61530	NA	NA	NA
"23.chr1.2232310"	"chr1"	2232311	2232617	1.9385297675702e-06	TRUE	4.90291528434817e-10	0.82	0.08	48.3908791298453	9.46682171873007	494.778253957172	"p36.33"	FALSE	"LOC100129534"	2284100	"-"	51482	NA	NA	NA
"30.chr1.2266007"	"chr1"	2266008	2266432	0.000374895951726304	FALSE	1	0.92	0.92	1	0.0845523371014081	7.58298001945728	"p36.33"	FALSE	"LOC100129534"	2284100	"-"	17667	NA	NA	NA
"107.chr1.2374818"	"chr1"	2374819	2375814	7.43999345431799e-05	TRUE	0.00328324464152193	0.8	0.44	4.96307589727815	1.57598472755002	16.6038116565589	"p36.32"	FALSE	"PEX10"	2344010	"-"	-30808	NA	NA	NA
"111.chr1.2706025"	"chr1"	2706026	2706961	4.91848195709005e-07	TRUE	3.97451018898934e-06	0.8	0.24	12.1143473300275	3.55252466515601	47.9085680068136	"p36.32"	FALSE	"TTC34"	2706230	"-"	0	"TTC34"	"2706230"	"-"
"22.chr1.2929155"	"chr1"	2929156	2929376	0.00687195058886489	TRUE	0.028132461279958	0.56	0.28	3.22057998778212	1.05161575368023	10.853999618646	"p36.32"	FALSE	"ACTRT2"	2938046	"+"	-8669	NA	NA	NA
"406.chr1.2983925"	"chr1"	2983926	2987962	0.00149823127206793	TRUE	0.0329249712709003	0.78	0.52	3.21561519014886	1.02899211956079	10.3755386060018	"p36.32"	FALSE	"PRDM16"	2985742	"+"	0	"LINC00982, PRDM16"	"2984289, 2985742"	"-, +"
"82.chr1.2990030"	"chr1"	2990031	2990718	0.008973176229676	TRUE	0.0034194425467623	0.56	0.2	4.98012207562263	1.49991522311506	19.7658227122216	"p36.32"	FALSE	"PRDM16"	2985742	"+"	4288	"LINC00982, PRDM16"	"2984289, 2985742"	"-, +"
"27.chr1.3071899"	"chr1"	3071900	3072239	8.33959278346073e-06	TRUE	0.000707208533708971	0.78	0.36	6.12106494799071	1.94958607138458	20.7651639025348	"p36.32"	FALSE	"MIR4251"	3044539	"+"	27360	NA	NA	NA
"19.chr1.3147845"	"chr1"	3147846	3148081	0.00203474377229131	FALSE	1	1	1	0	0	Inf	"p36.32"	FALSE	"MIR4251"	3044539	"+"	103306	NA	NA	NA
"65.chr1.3163969"	"chr1"	3163970	3164643	4.90839200476963e-06	TRUE	2.93317273706722e-06	0.78	0.2	13.5440625349566	3.84982740103708	57.5095429177617	"p36.32"	FALSE	"MIR4251"	3044539	"+"	119430	NA	NA	NA
"107.chr1.3327991"	"chr1"	3327992	3329424	0.00735103771432285	FALSE	1	1	1	0	0	Inf	"p36.32"	FALSE	"ARHGEF16"	3371147	"+"	-41722	NA	NA	NA
"19.chr1.3331986"	"chr1"	3331987	3332227	0.00219397045276708	FALSE	0.234636753209624	0.74	0.88	0.392574855655619	0.0646414088049844	1.65719759925101	"p36.32"	FALSE	"ARHGEF16"	3371147	"+"	-38919	NA	NA	NA
"284.chr1.3566445"	"chr1"	3566446	3569636	0.000148734733908578	TRUE	1.04528056944565e-07	0.66	0.04	44.3183310391255	6.19806725629232	1950.14271495308	"p36.32"	FALSE	"TP73"	3569129	"+"	0	"WRAP73, TP73"	"3566671, 3569129"	"-, +"
"232.chr1.4713989"	"chr1"	4713990	4716555	4.19214742819836e-05	TRUE	1.02430286580253e-07	0.6	0	Inf	7.95451912844582	Inf	"p36.32"	FALSE	"AJAP1"	4715105	"+"	0	"AJAP1"	"4715105"	"+"
"88.chr1.6268820"	"chr1"	6268821	6269588	4.27671110485254e-08	TRUE	9.68731887112519e-07	0.86	0.28	14.9885499141741	4.23971799129331	61.419489812239	"p36.31"	FALSE	"RNF207"	6266189	"+"	2631	"RNF207"	"6266189"	"+"
"111.chr1.6301695"	"chr1"	6301696	6302856	0.106787799322651	TRUE	0.00318311383237657	0.28	0	Inf	2.03321423352379	Inf	"p36.31"	FALSE	"HES3"	6304252	"+"	-1395	"ICMT, HES3"	"6296044, 6304252"	"-, +"
"87.chr1.6500168"	"chr1"	6500169	6501130	0.0242323355592031	TRUE	0.000361747764024363	0.44	0.04	18.3040014866428	2.56935382977272	806.691962032831	"p36.31"	FALSE	"MIR4252"	6489956	"-"	-10212	NA	NA	NA
"231.chr1.6514108"	"chr1"	6514109	6516325	1.46520108028233e-06	TRUE	0.00452261041311655	0.9	0.6	5.83118992304082	1.52903748765974	25.4809521080546	"p36.31"	FALSE	"TNFRSF25"	6526255	"-"	9929	NA	NA	NA
"24.chr1.6525996"	"chr1"	6525997	6526228	0.00168194582878021	TRUE	0.000156544688773823	0.46	0.04	19.8201430159841	2.7875313584992	872.627420140676	"p36.31"	FALSE	"TNFRSF25"	6526255	"-"	26	"TNFRSF25"	"6526255"	"-"
"27.chr1.6659125"	"chr1"	6659126	6659505	0.00050426662240111	FALSE	0.00613844465271049	0.6	0.92	0.133486488157921	0.0137930222646602	0.641897646158278	"p36.31"	FALSE	"KLHL21"	6662929	"-"	3423	"KLHL21"	"6662929"	"-"
"23.chr1.7022001"	"chr1"	7022002	7022308	3.76562810139483e-08	TRUE	1.84369231792933e-08	0.7	0.04	52.9295947844145	7.34845229446276	2333.76594494202	"p36.31"	FALSE	"CAMTA1"	6845384	"+"	176617	NA	NA	NA
"31.chr1.8002408"	"chr1"	8002409	8002699	0.00927263490774628	TRUE	0.0254838368267884	0.2	0	Inf	1.25243845690831	Inf	"p36.23"	FALSE	"TNFRSF9"	8003225	"-"	525	"TNFRSF9"	"8003225"	"-"
"63.chr1.8277195"	"chr1"	8277196	8277822	0.00958097958392636	TRUE	3.37249873958826e-06	0.5	0	Inf	5.36109623441605	Inf	"p36.23"	FALSE	"SLC45A1"	8384390	"+"	-106567	NA	NA	NA
"157.chr1.9242167"	"chr1"	9242168	9243827	0.00023251952305405	TRUE	0.0351001044009202	0.92	0.72	4.3707710939653	0.973830977678218	22.9562523331063	"p36.22"	FALSE	"MIR34A"	9211836	"-"	-30331	NA	NA	NA
"48.chr1.10698299"	"chr1"	10698300	10698910	0.008973176229676	TRUE	0.0508770061060482	0.48	0.24	2.88225070792418	0.909375534927682	10.3563774880337	"p36.22"	FALSE	"CASZ1"	10856733	"-"	157822	NA	NA	NA
"123.chr1.11119030"	"chr1"	11119031	11120634	0.00599704755681143	FALSE	0.00603822542665888	0.32	0.68	0.226413401920376	0.0686255789148103	0.689876026556291	"p36.22"	FALSE	"SRM"	11120091	"-"	0	"SRM"	"11120091"	"-"
"63.chr1.12123488"	"chr1"	12123489	12124148	0.00035917893012503	TRUE	0.0254838368267884	0.2	0	Inf	1.25243845690831	Inf	"p36.22"	FALSE	"TNFRSF8"	12123434	"+"	54	"TNFRSF8"	"12123434"	"+"
"21.chr1.12251777"	"chr1"	12251778	12251985	0.008973176229676	TRUE	0.428585898833655	0.92	0.84	2.16574927536064	0.366091433150604	12.8468735782873	"p36.22"	FALSE	"MIR4632"	12251762	"+"	15	"MIR4632"	"12251762"	"+"
"33.chr1.12655926"	"chr1"	12655927	12656248	0.00454178085570983	FALSE	0.123118910918558	0.14	0.32	0.351408964456546	0.0920040766229186	1.30099814440299	"p36.22"	FALSE	"DHRS3"	12677820	"-"	21571	NA	NA	NA
"22.chr1.13909606"	"chr1"	13909607	13909842	0.0174514957301289	TRUE	0.000785879483373882	0.46	0.08	9.53825249201486	1.99966888810903	92.2051909070276	"p36.21"	FALSE	"PDPN"	13910252	"+"	-409	"PDPN"	"13910252"	"+"
"76.chr1.16085147"	"chr1"	16085148	16085862	0.00642110399523851	TRUE	0.0133110358487184	0.56	0.24	3.9544114869924	1.24903161854002	14.2534756584791	"p36.21"	FALSE	"FBLIM1"	16083154	"+"	1993	"FBLIM1"	"16083154"	"+"
"37.chr1.16553326"	"chr1"	16553327	16553660	3.95712368449487e-06	TRUE	0.000175265057810471	0.84	0.4	7.60710535333575	2.30970470353015	27.4721398401712	"p36.13"	FALSE	"RSG1"	16563659	"-"	9998	NA	NA	NA
"42.chr1.16847280"	"chr1"	16847281	16847892	1.55037442042461e-05	TRUE	0.107894311444379	0.94	0.8	3.8371897074368	0.673222278287111	27.0910127742153	"p36.13"	FALSE	"CROCCP3"	16819196	"-"	-28084	NA	NA	NA
"231.chr1.17018683"	"chr1"	17018684	17020959	0.00487200505732185	TRUE	0.0541948620058807	0.8	0.56	3.08997024701457	0.962740150893686	10.2084796267978	"p36.13"	FALSE	"ESPNP"	17046652	"-"	25692	NA	NA	NA
"128.chr1.17085411"	"chr1"	17085412	17086974	0.000548251975669074	TRUE	0.00169479401022822	0.94	0.64	8.51097126490671	1.8380802818775	54.9069069560001	"p36.13"	FALSE	"MST1L"	17090975	"-"	4000	"MST1L"	"17090975"	"-"
"51.chr1.17215421"	"chr1"	17215422	17216094	0.198139985013239	TRUE	5.88807025212158e-05	0.42	0	Inf	3.88075693820832	Inf	"p36.13"	FALSE	"MFAP2"	17308081	"-"	91986	NA	NA	NA
"37.chr1.17475702"	"chr1"	17475703	17476075	0.00958097958392636	TRUE	0.00790825024340109	0.88	0.6	4.76907455657831	1.31341303531897	18.9916100108277	"p36.13"	FALSE	"PADI2"	17445948	"-"	-29754	NA	NA	NA
"30.chr1.17746200"	"chr1"	17746201	17746547	0.000762419924561972	TRUE	0.123118910918558	0.86	0.68	2.84568722242616	0.76864060437141	10.8690835961381	"p36.13"	FALSE	"RCC2"	17766250	"-"	19702	NA	NA	NA
"90.chr1.18436551"	"chr1"	18436552	18437673	0.0136262904279443	TRUE	5.88807025212158e-05	0.42	0	Inf	3.88075693820832	Inf	"p36.13"	FALSE	"IGSF21"	18434240	"+"	2311	"IGSF21"	"18434240"	"+"
"205.chr1.18956895"	"chr1"	18956896	18959829	1.78412462897652e-07	TRUE	3.00367908227497e-08	0.86	0.2	22.9976884526403	6.05294653145589	107.483201713433	"p36.13"	FALSE	"PAX7"	18957500	"+"	0	"PAX7"	"18957500"	"+"
"56.chr1.18962842"	"chr1"	18962843	18963481	0.00295170351559699	TRUE	5.88807025212158e-05	0.42	0	Inf	3.88075693820832	Inf	"p36.13"	FALSE	"PAX7"	18957500	"+"	5342	"PAX7"	"18957500"	"+"
"30.chr1.18971729"	"chr1"	18971730	18972097	0.00101111277422654	TRUE	2.39424021943811e-05	0.44	0	Inf	4.21432383740927	Inf	"p36.13"	FALSE	"PAX7"	18957500	"+"	14229	NA	NA	NA
"73.chr1.19614998"	"chr1"	19614999	19615660	0.000222478853937961	FALSE	4.3442571339103e-05	0.08	0.52	0.0838962667327211	0.016753926872795	0.332091576534087	"p36.13"	FALSE	"AKR7A3"	19615280	"-"	0	"LOC100506730, AKR7A3"	"19622230, 19615280"	"-, -"
