chr	start	end	shortlist	type	wilcoxon.p.value	hyper.	fisher.p.value	tmr.ratio	nor.ratio	OR	CI_95_L	CI_95_H	cytoband	DM.band?	closest.TSS	pos	dir	dist	overlapped.TSS	overlapped.pos	ovrl.dir
chr1	98496219	98520092	FALSE	NHLF	4.65188025301619e-06	TRUE	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	p21.3	FALSE	MIR137	98511727	-	0	MIR2682, MIR137HG, MIR137	98510907, 98515249, 98511727	-, -, -
chr1	149194189	149195226	FALSE	HeLa	5.17841883014702e-06	TRUE	5.52932925565979e-08	0.68	0.04	48.3680365036895	6.74092100967879	2130.26603797867	q21.2	TRUE	LOC388692	149279476	+	-84249	NA	NA	NA
chr1	170630408	170635244	FALSE	IMR90	8.41125700693697e-09	TRUE	1.1820150429933e-10	0.88	0.12	48.871483710807	10.6179430083334	332.247127412258	q24.2	FALSE	PRRX1	170633313	+	0	PRRX1	170633313	+
chr1	237204982	237207833	FALSE	H2171	2.07518324028628e-10	TRUE	5.10802873635223e-13	0.88	0.04	154.746002475729	19.3698177844685	6987.80566024278	q43	FALSE	RYR2	237205702	+	0	RYR2	237205702	+
chr2	5829629	5838388	FALSE	H2171	2.48703944323788e-09	TRUE	8.91194636480806e-08	0.9	0.28	21.6813000005428	5.64304370910093	101.998586545682	p25.2	FALSE	SOX11	5832799	+	0	SOX11	5832799	+
chr2	5830273	5838063	FALSE	IMR90	2.48703944323788e-09	TRUE	8.91194636480806e-08	0.9	0.28	21.6813000005428	5.64304370910093	101.998586545682	p25.2	FALSE	SOX11	5832799	+	0	SOX11	5832799	+
chr2	66800432	66811110	TRUE	IMR90	3.73644684915914e-11	TRUE	6.22949326058992e-17	0.94	0	Inf	54.588056721985	Inf	p14	FALSE	MEIS1	66662532	+	137899	NA	NA	NA
chr2	66800755	66811197	TRUE	NHLF	3.20898767458168e-11	TRUE	6.22949326058992e-17	0.94	0	Inf	54.588056721985	Inf	p14	FALSE	MEIS1	66662532	+	138222	NA	NA	NA
chr2	111874526	111881293	FALSE	HeLa	4.34845089593259e-11	TRUE	1.27283001221429e-11	0.96	0.2	84.7185858833066	14.8028940120508	935.335430147732	q13	FALSE	BCL2L11	111878491	+	0	BCL2L11	111878491	+
chr2	127974318	127985330	FALSE	HeLa	0.000123975524540378	TRUE	2.06330384847420e-09	0.68	0	Inf	11.0515348517354	Inf	q14.3	FALSE	CYP27C1	127977654	-	0	CYP27C1	127977654	-
chr2	155552410	155574749	TRUE	H2171	3.20898767458168e-11	TRUE	9.72789663929904e-12	0.94	0.16	72.56878936475	14.2440780368686	566.728768919127	q24.1	FALSE	KCNJ3	155555093	+	0	KCNJ3	155555093	+
chr2	182321075	182323855	FALSE	H2171	2.44025410492706e-05	TRUE	2.06330384847420e-09	0.68	0	Inf	11.0515348517354	Inf	q31.3	FALSE	ITGA4	182321619	+	0	ITGA4	182321619	+
chr2	182537099	182552426	FALSE	H2171	3.98740237140069e-10	TRUE	2.67447310777765e-08	0.96	0.36	39.4822673220185	7.47352126266809	411.032118619716	q31.3	FALSE	NEUROD1	182545392	-	0	CERKL, NEUROD1	182545392, 182545392	-, -
chr3	117715946	117716540	FALSE	NHLF	1.00626898991136e-09	TRUE	9.453240449212e-12	0.88	0.08	75.3789325546819	13.8457307338459	828.848319427801	q13.32	FALSE	IGSF11-AS1	118661923	+	-945382	NA	NA	NA
chr3	125075669	125076879	FALSE	NHLF	3.31399322493144e-08	TRUE	4.13411953362151e-09	0.86	0.16	29.9491402796861	7.39372144831654	159.006965274584	q21.2	FALSE	ZNF148	125094198	-	17318	NA	NA	NA
chr3	157814962	157830183	FALSE	H2171	5.45437696035366e-11	TRUE	4.7033698268394e-09	0.96	0.32	46.7753070342371	8.77013543274574	491.320148912525	q25.32	TRUE	SHOX2	157823952	-	0	RSRC1, SHOX2	157827841, 157823952	+, -
chr3	168959750	168960702	FALSE	IMR90	3.28400915641552e-05	TRUE	3.32658199117912e-07	0.74	0.12	19.8424383787052	4.8495125683199	121.068051782582	q26.2	TRUE	MECOM	169381563	-	420860	NA	NA	NA
chr3	169375879	169380669	FALSE	NHLF	3.05550303819758e-09	TRUE	1.03229796051015e-10	0.8	0.04	88.4116797580988	11.8492400110969	3935.61800127029	q26.2	TRUE	MECOM	169381563	-	893	MECOM	169381563	-
chr3	170290167	170317765	FALSE	H2171	1.23685655472294e-07	TRUE	9.47934690455702e-08	0.84	0.2	19.7838494632582	5.34339600421104	89.3011862062514	q26.2	TRUE	SLC7A14	170303863	-	0	SLC7A14	170303863	-
chr3	192231888	192234004	FALSE	H2171	2.25223567467663e-08	TRUE	1.5465108320584e-09	0.8	0.08	42.7909294467574	8.487997443863	433.284722627506	q28	TRUE	FGF12	192445388	-	211383	NA	NA	NA
