"id"	"chr"	"start"	"end"	"wilcoxon.p.value"	"hyper."	"fisher.p.value"	"tmr.ratio"	"nor.ratio"	"OR"	"CI_95_L"	"CI_95_H"	"cytoband"	"DM.band?"	"closest.TSS"	"pos"	"dir"	"dist"	"overlapped.TSS"	"overlapped.pos"	"ovrl.dir"
"23.chr1.2232310"	"chr1"	2232311	2232617	1.88683185956156e-09	TRUE	4.90291528434817e-10	0.82	0.08	48.3908791298453	9.46682171873007	494.778253957172	"p36.33"	FALSE	"LOC100129534"	2284100	"-"	51482	NA	NA	NA
"284.chr1.3566445"	"chr1"	3566446	3569636	1.3088700540558e-06	TRUE	1.04528056944565e-07	0.66	0.04	44.3183310391255	6.19806725629232	1950.14271495308	"p36.32"	FALSE	"TP73"	3569129	"+"	0	"WRAP73, TP73"	"3566671, 3569129"	"-, +"
"232.chr1.4713989"	"chr1"	4713990	4716555	6.75609003397452e-06	TRUE	1.02430286580253e-07	0.6	0	Inf	7.95451912844582	Inf	"p36.32"	FALSE	"AJAP1"	4715105	"+"	0	"AJAP1"	"4715105"	"+"
"88.chr1.6268820"	"chr1"	6268821	6269588	6.65095993797791e-08	TRUE	9.68731887112519e-07	0.86	0.28	14.9885499141741	4.23971799129331	61.419489812239	"p36.31"	FALSE	"RNF207"	6266189	"+"	2631	"RNF207"	"6266189"	"+"
"23.chr1.7022001"	"chr1"	7022002	7022308	6.40768672932335e-06	TRUE	1.84369231792933e-08	0.7	0.04	52.9295947844145	7.34845229446276	2333.76594494202	"p36.31"	FALSE	"CAMTA1"	6845384	"+"	176617	NA	NA	NA
"205.chr1.18956895"	"chr1"	18956896	18959829	5.17152657939932e-08	TRUE	3.00367908227497e-08	0.86	0.2	22.9976884526403	6.05294653145589	107.483201713433	"p36.13"	FALSE	"PAX7"	18957500	"+"	0	"PAX7"	"18957500"	"+"
"110.chr1.20692582"	"chr1"	20692583	20693534	0.000162793879836755	TRUE	1.02430286580253e-07	0.6	0	Inf	7.95451912844582	Inf	"p36.12"	FALSE	"LINC01141"	20755287	"-"	61752	NA	NA	NA
"35.chr1.22446520"	"chr1"	22446521	22446943	0.86170438687502	FALSE	1	0.98	0.96	2.02078291159305	0.0249783417144258	163.257407501336	"p36.12"	FALSE	"WNT4"	22470385	"-"	23441	NA	NA	NA
"75.chr1.32237827"	"chr1"	32237828	32238661	3.31399322493144e-08	TRUE	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	"p35.2"	FALSE	"BAI2"	32229648	"-"	-8179	NA	NA	NA
"75.chr1.33351686"	"chr1"	33351687	33352397	0.640915088694492	FALSE	1	0	0	0	0	Inf	"p35.1"	FALSE	"HPCA"	33352098	"+"	0	"HPCA"	"33352098"	"+"
"22.chr1.38200919"	"chr1"	38200920	38201200	0.000203606410308482	TRUE	2.870886225708e-07	0.7	0.08	25.5244239476761	5.27156302771754	249.487039127439	"p34.3"	FALSE	"EPHA10"	38230824	"-"	29623	NA	NA	NA
"77.chr1.38229838"	"chr1"	38229839	38230888	4.01328805886586e-08	TRUE	1.37787311838289e-08	0.84	0.16	25.7688670829198	6.52555109591794	132.495383311765	"p34.3"	FALSE	"EPHA10"	38230824	"-"	0	"EPHA10"	"38230824"	"-"
"243.chr1.44871109"	"chr1"	44871110	44874047	6.97596318058497e-07	TRUE	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	"p34.1"	FALSE	"RNF220"	44870960	"+"	149	"RNF220"	"44870960"	"+"
"175.chr1.46954793"	"chr1"	46954794	46957121	4.176848540423e-06	TRUE	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	"p33"	FALSE	"DMBX1"	46972668	"+"	-15546	NA	NA	NA
"129.chr1.47696504"	"chr1"	47696505	47698197	1.23684916011109e-06	TRUE	2.06330384847420e-09	0.68	0	Inf	11.0515348517354	Inf	"p33"	FALSE	"TAL1"	47697892	"-"	0	"TAL1"	"47697892"	"-"
