"id"	"type"	"chr"	"start"	"end"	"wilcoxon.p.value"	"hyper."	"fisher.p.value"	"tmr.ratio"	"nor.ratio"	"OR"	"CI_95_L"	"CI_95_H"	"cytoband"	"DM.band?"	"closest.TSS"	"pos"	"dir"	"dist"	"overlapped.TSS"	"overlapped.pos"	"ovrl.dir"
"nt_241"	"vistaEnhancers"	"chr1"	10965130	10966144	0.0136262904279443	TRUE	0.00335428472575527	0.26	0	Inf	1.82303133086725	Inf	"p36.22"	FALSE	"C1orf127"	11042094	"-"	75949	NA	NA	NA
"nt_1105"	"vistaEnhancers"	"chr1"	38494690	38495688	0.0174514957301289	FALSE	0.00547053842534291	0.5	0.84	0.194591892418488	0.0424079319662481	0.69259001554094	"p34.3"	FALSE	"UTP11L"	38478384	"+"	16305	NA	NA	NA
"nt_612"	"vistaEnhancers"	"chr1"	91305563	91307215	6.97596318058497e-07	TRUE	4.15878649169358e-06	0.64	0.08	19.6041841959399	4.09548191999493	190.419823358238	"p22.2"	TRUE	"BARHL2"	91182794	"-"	-122768	NA	NA	NA
"nt_762"	"vistaEnhancers"	"chr1"	163441942	163442842	0.0322712023581972	FALSE	0.0351001044009202	0.08	0.28	0.228792581103297	0.0435611172716488	1.02687224263924	"q23.3"	FALSE	"NUF2"	163291723	"+"	150218	NA	NA	NA
"nt_1125"	"vistaEnhancers"	"chr2"	103548427	103549712	0.0402549770784605	FALSE	0.0461489192398393	0.56	0.8	0.322886575964888	0.0814567925705709	1.07765124938636	"q12.1"	FALSE	"TMEM182"	103353394	"+"	195032	NA	NA	NA
"nt_1112"	"vistaEnhancers"	"chr2"	103909359	103911221	0.0102252255102697	TRUE	5.88807025212158e-05	0.42	0	Inf	3.88075693820832	Inf	"q12.1"	FALSE	"TMEM182"	103353394	"+"	555964	NA	NA	NA
"nt_245"	"vistaEnhancers"	"chr2"	175207311	175208242	0.00642110399523851	TRUE	5.88807025212158e-05	0.42	0	Inf	3.88075693820832	Inf	"q31.1"	TRUE	"SP9"	175199821	"+"	7489	NA	NA	NA
"nt_1043"	"vistaEnhancers"	"chr3"	147125147	147126336	1.00626898991136e-09	TRUE	5.10802873635223e-13	0.88	0.04	154.746002475729	19.3698177844685	6987.80566024278	"q24"	TRUE	"ZIC4"	147124596	"-"	-550	"ZIC1, ZIC4"	"147127181, 147124596"	"+, -"
"nt_1433"	"vistaEnhancers"	"chr3"	168958334	168962944	1.33651682448745e-08	TRUE	3.32658199117912e-07	0.74	0.12	19.8424383787052	4.8495125683199	121.068051782582	"q26.2"	TRUE	"MECOM"	169381563	"-"	418618	NA	NA	NA
"nt_1332"	"vistaEnhancers"	"chr3"	181958775	181961127	0.00812594362911544	TRUE	0.012209046084534	0.52	0.2	4.25017446641001	1.2807349556343	16.8372224768347	"q26.33"	TRUE	"FLJ46066"	182204150	"-"	243022	NA	NA	NA
"nt_678"	"vistaEnhancers"	"chr4"	54961999	54962796	0.0140599532295954	TRUE	0.0054705384253429	0.5	0.16	5.13896024943014	1.44385563978851	23.5804943470454	"q12"	FALSE	"GSX2"	54966248	"+"	-3451	"GSX2"	"54966248"	"+"
"nt_904"	"vistaEnhancers"	"chr4"	145860002	145861281	0.0313757649913454	FALSE	0.0389937789083078	0.26	0.52	0.329693341959968	0.105308513531319	1.00036311842572	"q31.21"	FALSE	"ABCE1"	146019156	"+"	-157874	NA	NA	NA
"nt_754"	"vistaEnhancers"	"chr5"	3197866	3198942	0.000148734733908578	TRUE	0.00037529809349662	0.34	0	Inf	2.73543710000816	Inf	"p15.33"	FALSE	"LINC01019"	3536208	"-"	337265	NA	NA	NA
"nt_516"	"vistaEnhancers"	"chr5"	44389167	44390467	0.00133316604047255	TRUE	7.21971996210696e-05	0.48	0.04	21.4491059784051	3.02095571017277	943.573481270169	"p12"	FALSE	"FGF10"	44388784	"-"	-382	"FGF10"	"44388784"	"-"
"nt_695"	"vistaEnhancers"	"chr5"	76935226	76936266	1.39819406789723e-07	TRUE	1.20585717201875e-08	0.64	0	Inf	9.35072893871128	Inf	"q14.1"	FALSE	"OTP"	76934522	"-"	-703	"OTP"	"76934522"	"-"
