chr	start	end	shortlist	type	wilcoxon.p.value	hyper.	fisher.p.value	tmr.ratio	nor.ratio	OR	CI_95_L	CI_95_H	cytoband	DM.band?	closest.TSS	pos	dir	dist	overlapped.TSS	overlapped.pos	ovrl.dir
chr1	967473	969865	FALSE	H2171	0.00687195058886489	TRUE	0.0063999809112709	0.54	0.2	4.59966175801691	1.38608463264175	18.2394190805694	p36.33	FALSE	AGRN	955503	+	11969	NA	NA	NA
chr1	1238207	1245246	FALSE	H2171	0.0169268030919366	FALSE	0.0300290652191747	0.62	0.88	0.226520313236213	0.0382801929869151	0.911246198770924	p36.33	FALSE	PUSL1	1243994	+	0	ACAP3, PUSL1	1244989, 1243994	-, +
chr1	1365561	1366093	FALSE	NHLF	0.0844930453937512	FALSE	0.0158766934874226	0.08	0.32	0.189670956391632	0.0368169582571534	0.816653681584367	p36.33	FALSE	TMEM88B	1361508	+	4052	TMEM88B, VWA1	1361508, 1370903	+, +
chr1	2159569	2169467	FALSE	H2171	0.0221875038856441	TRUE	0.0258733724228438	0.82	0.56	3.51096303230979	1.07396835692955	11.9470045596834	p36.33	FALSE	SKI	2160134	+	0	SKI	2160134	+
chr1	2177438	2178509	FALSE	NHLF	3.80347805794297e-05	TRUE	0.000211105795280745	0.66	0.2	7.53414803430194	2.2416209209077	30.3619082193218	p36.33	FALSE	SKI	2160134	+	17303	NA	NA	NA
chr1	2230402	2233503	FALSE	NHLF	3.95712368449487e-06	TRUE	0.0182847554777843	0.86	0.6	4.0079882134626	1.14500205911557	14.9341015847225	p36.33	FALSE	LOC100129534	2284100	-	50596	NA	NA	NA
chr1	2479561	2480908	FALSE	NHLF	0.08653753526682	TRUE	0.00728180702248323	0.32	0.04	11.0323267457581	1.51133930528273	491.802739783037	p36.32	FALSE	LOC115110	2484284	-	3375	LOC115110, TNFRSF14	2484284, 2487805	-, +
chr1	3013439	3024144	FALSE	H2171	4.84648749115738e-05	FALSE	0.00198271919844313	0.5	0.88	0.139811690054405	0.023793630369294	0.553808753728484	p36.32	FALSE	MIR4251	3044539	+	-20394	NA	NA	NA
chr1	4082737	4084809	FALSE	H2171	0.0140599532295954	FALSE	0.0238428299314569	0.28	0.56	0.310878067549741	0.0995263559415013	0.933684448830669	p36.32	FALSE	LINC01346	4000672	+	82064	NA	NA	NA
chr1	4586361	4589068	FALSE	H2171	0.00599704755681143	FALSE	0.001161773181713	0.44	0.84	0.153517281402936	0.033376604183478	0.546357619158721	p36.32	FALSE	LOC284661	4472111	+	114249	NA	NA	NA
chr1	5825118	5831978	FALSE	H2171	0.0174514957301289	FALSE	0.00603822542665888	0.32	0.68	0.226413401920376	0.0686255789148103	0.689876026556291	p36.31	FALSE	MIR4689	5922801	-	90822	NA	NA	NA
