chr	start	end	shortlist	type	wilcoxon.p.value	hyper.	fisher.p.value	tmr.ratio	nor.ratio	OR	CI_95_L	CI_95_H	cytoband	DM.band?	closest.TSS	pos	dir	dist	overlapped.TSS	overlapped.pos	ovrl.dir
chr1	967473	969865	FALSE	H2171	0.00687195058886489	TRUE	0.0063999809112709	0.54	0.2	4.59966175801691	1.38608463264175	18.2394190805694	p36.33	FALSE	AGRN	955503	+	11969	NA	NA	NA
chr1	998196	1016060	FALSE	HeLa	0.0582546806996226	FALSE	1	0.84	0.84	1	0.19725615377822	4.27331971324044	p36.33	FALSE	RNF223	1009687	-	0	RNF223	1009687	-
chr1	998796	1016126	FALSE	H2171	0.0525339032515038	FALSE	1	0.82	0.84	0.869371620595221	0.174707647662021	3.58859744044884	p36.33	FALSE	RNF223	1009687	-	0	RNF223	1009687	-
chr1	1096765	1100297	FALSE	H2171	0.0242323355592031	FALSE	0.256201406886339	0.98	0.92	4.17141631114983	0.207343923024541	255.942868516757	p36.33	FALSE	MIR200B	1102484	+	-2186	MIR200A, MIR200B, MIR429	1103243, 1102484, 1104385	+, +, +
chr1	1143600	1144238	FALSE	NHLF	0.698203621418643	TRUE	1	0	0	0	0	Inf	p36.33	FALSE	TNFRSF18	1142089	-	-1510	TNFRSF4, TNFRSF18	1149548, 1142089	-, -
chr1	1238207	1245246	FALSE	H2171	0.0169268030919366	FALSE	0.0300290652191747	0.62	0.88	0.226520313236213	0.0382801929869151	0.911246198770924	p36.33	FALSE	PUSL1	1243994	+	0	ACAP3, PUSL1	1244989, 1243994	-, +
chr1	1365561	1366093	FALSE	NHLF	0.0844930453937512	FALSE	0.0158766934874226	0.08	0.32	0.189670956391632	0.0368169582571534	0.816653681584367	p36.33	FALSE	TMEM88B	1361508	+	4052	TMEM88B, VWA1	1361508, 1370903	+, +
chr1	1622220	1625335	FALSE	IMR90	0.172082726254726	FALSE	0.00307832432084795	0	0.2	0	0	0.490202752114821	p36.33	FALSE	MMP23A	1631378	+	-6042	MMP23A	1631378	+
chr1	1899628	1901719	FALSE	HeLa	0.0272115725505063	FALSE	0.0137944750894916	0.4	0.72	0.26416939110468	0.0779626395790912	0.811520018396243	p36.33	FALSE	CFAP74	1935276	-	33556	NA	NA	NA
chr1	2101379	2102720	FALSE	HeLa	0.109252557519574	TRUE	0.0182847554777843	0.86	0.6	4.0079882134626	1.14500205911557	14.9341015847225	p36.33	FALSE	C1orf86	2139172	-	36451	NA	NA	NA
chr1	2159569	2169467	FALSE	H2171	0.0221875038856441	TRUE	0.0258733724228438	0.82	0.56	3.51096303230979	1.07396835692955	11.9470045596834	p36.33	FALSE	SKI	2160134	+	0	SKI	2160134	+
chr1	2169227	2169810	FALSE	NHLF	0.0567780510029168	TRUE	0.0472648484929619	0.66	0.4	2.86789234719138	0.96953063182847	8.86834183423624	p36.33	FALSE	SKI	2160134	+	9092	NA	NA	NA
chr1	2177438	2178509	FALSE	NHLF	3.80347805794297e-05	TRUE	0.000211105795280745	0.66	0.2	7.53414803430194	2.2416209209077	30.3619082193218	p36.33	FALSE	SKI	2160134	+	17303	NA	NA	NA
chr1	2208988	2224589	FALSE	IMR90	0.044838453856633	TRUE	0.333333333333333	1	0.96	Inf	0.0512818798828127	Inf	p36.33	FALSE	SKI	2160134	+	48853	NA	NA	NA
chr1	2209015	2211815	FALSE	NHLF	0.0136262904279443	TRUE	0.333333333333333	1	0.96	Inf	0.0512818798828127	Inf	p36.33	FALSE	SKI	2160134	+	48880	NA	NA	NA
chr1	2220365	2224899	FALSE	NHLF	0.000194744326644558	TRUE	0.108108108108108	1	0.92	Inf	0.381354828839544	Inf	p36.33	FALSE	LOC100129534	2284100	-	59200	NA	NA	NA
chr1	2225359	2226475	FALSE	NHLF	0.0313757649913454	TRUE	0.659315885439752	0.92	0.96	0.483306318402138	0.00935103504342932	5.24895569990112	p36.33	FALSE	LOC100129534	2284100	-	57624	NA	NA	NA
chr1	2230402	2233503	FALSE	NHLF	3.95712368449487e-06	TRUE	0.0182847554777843	0.86	0.6	4.0079882134626	1.14500205911557	14.9341015847225	p36.33	FALSE	LOC100129534	2284100	-	50596	NA	NA	NA
chr1	2252947	2254558	FALSE	NHLF	0.0341279140148013	FALSE	0.361217225900552	0.78	0.88	0.487797813050765	0.0789937728892099	2.12472222794764	p36.33	FALSE	LOC100129534	2284100	-	29541	NA	NA	NA
chr1	2261459	2262659	FALSE	NHLF	0.0341279140148013	FALSE	0.480353105707285	0.84	0.92	0.460801664992675	0.0441363624416409	2.58654790171077	p36.33	FALSE	LOC100129534	2284100	-	21440	NA	NA	NA
