id	type	chr	start	end	wilcoxon.p.value	hyper.	fisher.p.value	tmr.ratio	nor.ratio	OR	CI_95_L	CI_95_H	cytoband	DM.band?	closest.TSS	pos	dir	dist	overlapped.TSS	overlapped.pos	ovrl.dir
nt_705	vistaEnhancers	chr1	3190582	3191428	0.303775240598812	FALSE	0.0224557808216982	0.66	0.92	0.172190818448372	0.0176536356921517	0.840003151235488	p36.32	FALSE	MIR4251	3044539	+	146042	NA	NA	NA
nt_417	vistaEnhancers	chr1	10925203	10925728	0.496528966021922	FALSE	0.54646427249167	0.06	0	Inf	0.20609467637889	Inf	p36.22	FALSE	CASZ1	10856733	-	-68469	NA	NA	NA
nt_241	vistaEnhancers	chr1	10965130	10966144	0.0102252255102697	TRUE	0.00335428472575527	0.26	0	Inf	1.82303133086725	Inf	p36.22	FALSE	C1orf127	11042094	-	75949	NA	NA	NA
nt_1105	vistaEnhancers	chr1	38494690	38495688	0.0154348871975074	FALSE	0.00547053842534291	0.5	0.84	0.194591892418488	0.0424079319662481	0.69259001554094	p34.3	FALSE	UTP11L	38478384	+	16305	NA	NA	NA
nt_270	vistaEnhancers	chr1	38801889	38802630	0.019112075453428	TRUE	0.0847873577221046	0.66	0.44	2.43951076505859	0.827777879508045	7.41748682179066	p34.3	FALSE	LINC01343	38680439	-	-121449	NA	NA	NA
nt_438	vistaEnhancers	chr1	82664609	82665419	0.879402338505323	FALSE	1	0	0	0	0	Inf	p31.1	FALSE	LPHN2	81771845	+	892763	NA	NA	NA
nt_439	vistaEnhancers	chr1	83220710	83221363	0.791689611534464	TRUE	1	0	0	0	0	Inf	p31.1	FALSE	MIR548AP	84379059	-	1157695	NA	NA	NA
nt_1135	vistaEnhancers	chr1	88595050	88596320	0.765829643368155	TRUE	1	0	0	0	0	Inf	p22.2	TRUE	PKN2	89149922	+	-553601	NA	NA	NA
nt_612	vistaEnhancers	chr1	91305563	91307215	1.80540938192826e-05	TRUE	4.15878649169358e-06	0.64	0.08	19.6041841959399	4.09548191999493	190.419823358238	p22.2	TRUE	BARHL2	91182794	-	-122768	NA	NA	NA
nt_762	vistaEnhancers	chr1	163441942	163442842	0.39613355088122	FALSE	0.0351001044009202	0.08	0.28	0.228792581103297	0.0435611172716488	1.02687224263924	q23.3	FALSE	NUF2	163291723	+	150218	NA	NA	NA
nt_1235	vistaEnhancers	chr1	164620039	164621164	0.116917392093246	TRUE	0.0124990369508944	0.22	0	Inf	1.43332534641937	Inf	q23.3	FALSE	PBX1	164528597	+	91441	NA	NA	NA
nt_1862	vistaEnhancers	chr1	181121050	181123654	0.932823697983414	TRUE	0.0124990369508944	0.22	0	Inf	1.43332534641937	Inf	q25.3	FALSE	IER5	181057638	+	63411	NA	NA	NA
nt_1443	vistaEnhancers	chr1	198339403	198341607	0.562717361580572	FALSE	1	0	0	0	0	Inf	q31.3	FALSE	ATP6V1G3	198510075	-	168467	NA	NA	NA
nt_1663	vistaEnhancers	chr1	221906779	221908480	0.377634148958669	FALSE	1	0	0	0	0	Inf	q41	FALSE	DUSP10	221915516	-	7035	NA	NA	NA
nt_476	vistaEnhancers	chr1	244217326	244218426	0.0169268030919366	TRUE	0.596857131103707	0.96	0.92	2.06491863217989	0.141429501328771	30.1702496031481	q44	FALSE	ZBTB18	244212241	+	5084	ZBTB18	244212241	+
nt_1496	vistaEnhancers	chr2	5549619	5553025	0.253969178353901	TRUE	1	0.02	0	Inf	0.0128359375	Inf	p25.2	FALSE	SOX11	5832799	+	-279773	NA	NA	NA
nt_1152	vistaEnhancers	chr2	58859998	58861674	0.923892470513514	FALSE	1	0	0	0	0	Inf	p16.1	FALSE	LINC01122	58747888	+	112109	NA	NA	NA
