chr	start	end	fisher.p.value	tmr.ratio	nor.ratio	OR	CI_95_L	CI_95_H	cytoband	DM.band?	CpGi	DM.island?	closest.TSS	pos	dir	dist	overlapped.TSS	overlapped.pos	ovrl.dir	norm.700.reads.min	norm.700.reads.25q	norm.700.reads.med	norm.700.reads.75q	norm.700.reads.max
chr1	1109301	1109400	8.08969110048619e-06	0.66	0.12	13.6934206930972	3.42141499113365	81.5061385602054	p36.33	FALSE	NA	NA	TTLL10	1109286	+	14	TTLL10, MIR200A, MIR200B, MIR429	1109286, 1103243, 1102484, 1104385	+, +, +, +	0	6	11	20	43
chr1	1118301	1118400	5.51150164269151e-06	0.62	0.08	18.0320267577341	3.77678278814949	174.883795504235	p36.33	FALSE	NA	NA	TTLL10	1109286	+	9014	NA	NA	NA	0	3	7	16	39
chr1	1609001	1609100	1.44143425904024e-05	0.84	0.32	10.689046363317	3.1741643670142	40.453899678891	p36.33	FALSE	NA	NA	MMP23A	1631378	+	-22277	NA	NA	NA	1	5	9	18	43
chr1	1609101	1609200	4.50212191937307e-06	0.86	0.32	12.4555347781804	3.59543267628241	49.1290755569666	p36.33	FALSE	NA	NA	MMP23A	1631378	+	-22177	NA	NA	NA	1	8	11	19	48
chr1	1609201	1609300	1.53366343296813e-06	0.88	0.32	14.7852644548975	4.117522693746	61.9960915644489	p36.33	FALSE	NA	NA	MMP23A	1631378	+	-22077	NA	NA	NA	0	6	11	20	48
chr1	1609301	1609400	4.50212191937307e-06	0.86	0.32	12.4555347781804	3.59543267628241	49.1290755569666	p36.33	FALSE	NA	NA	MMP23A	1631378	+	-21977	NA	NA	NA	0	6	11	21	61
chr1	1609401	1609500	1.37787311838289e-08	0.84	0.16	25.7688670829198	6.52555109591794	132.495383311765	p36.33	FALSE	NA	NA	MMP23A	1631378	+	-21877	NA	NA	NA	1	5	10	15	61
chr1	1609501	1609600	1.44122092033791e-10	0.84	0.08	55.2917459460206	10.6421667725836	571.024734819671	p36.33	FALSE	NA	NA	MMP23A	1631378	+	-21777	NA	NA	NA	1	6	10	13	61
chr1	1609601	1609700	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	p36.33	FALSE	NA	NA	MMP23A	1631378	+	-21677	NA	NA	NA	0	2	5	9	45
chr1	1609701	1609800	1.20585717201875e-08	0.64	0	Inf	9.35072893871128	Inf	p36.33	FALSE	NA	NA	MMP23A	1631378	+	-21577	NA	NA	NA	0	2	5	8	39
chr1	1857401	1857500	2.687389561362e-05	0.12	0.6	0.0948631164974526	0.0235325631540421	0.333657588868857	p36.33	FALSE	NA	NA	TMEM52	1850740	-	-6660	TMEM52	1850740	-	5	11	18	25	65
