id	type	chr	start	end	wilcoxon.p.value	hyper.	fisher.p.value	tmr.ratio	nor.ratio	OR	CI_95_L	CI_95_H	cytoband	DM.band?	closest.TSS	pos	dir	dist	overlapped.TSS	overlapped.pos	ovrl.dir
nt_612	vistaEnhancers	chr1	91305563	91307215	1.80540938192826e-05	TRUE	4.15878649169358e-06	0.64	0.08	19.6041841959399	4.09548191999493	190.419823358238	p22.2	TRUE	BARHL2	91182794	-	-122768	NA	NA	NA
nt_1112	vistaEnhancers	chr2	103909359	103911221	0.00035917893012503	TRUE	5.88807025212158e-05	0.42	0	Inf	3.88075693820832	Inf	q12.1	FALSE	TMEM182	103353394	+	555964	NA	NA	NA
nt_435	vistaEnhancers	chr3	62359867	62360569	0.0140599532295954	TRUE	0.000141693911181808	0.38	0	Inf	3.27368594097883	Inf	p14.2	FALSE	FEZF2	62359190	-	-676	FEZF2	62359190	-
nt_666	vistaEnhancers	chr3	137360824	137361964	0.0249493256246967	TRUE	0.000361747764024363	0.44	0.04	18.3040014866428	2.56935382977272	806.691962032831	q22.3	TRUE	SOX14	137483134	+	-121169	NA	NA	NA
nt_1043	vistaEnhancers	chr3	147125147	147126336	3.45172279707857e-10	TRUE	5.10802873635223e-13	0.88	0.04	154.746002475729	19.3698177844685	6987.80566024278	q24	TRUE	ZIC4	147124596	-	-550	ZIC1, ZIC4	147127181, 147124596	+, -
nt_1433	vistaEnhancers	chr3	168958334	168962944	3.28400915641552e-05	TRUE	3.32658199117912e-07	0.74	0.12	19.8424383787052	4.8495125683199	121.068051782582	q26.2	TRUE	MECOM	169381563	-	418618	NA	NA	NA
nt_516	vistaEnhancers	chr5	44389167	44390467	0.0215400808638254	TRUE	7.21971996210696e-05	0.48	0.04	21.4491059784051	3.02095571017277	943.573481270169	p12	FALSE	FGF10	44388784	-	-382	FGF10	44388784	-
nt_695	vistaEnhancers	chr5	76935226	76936266	8.78770437582528e-06	TRUE	1.20585717201875e-08	0.64	0	Inf	9.35072893871128	Inf	q14.1	FALSE	OTP	76934522	-	-703	OTP	76934522	-
nt_262	vistaEnhancers	chr5	76940837	76941396	3.12637189337314e-05	TRUE	2.39424021943811e-05	0.44	0	Inf	4.21432383740927	Inf	q14.1	FALSE	OTP	76934522	-	-6314	OTP	76934522	-
nt_264	vistaEnhancers	chr5	77147581	77148599	8.17265312082791e-05	TRUE	0.0013900652518848	0.68	0.28	5.32942026434548	1.70915254556994	18.4093151068835	q14.1	FALSE	TBCA	77072185	-	-75395	NA	NA	NA
nt_429	vistaEnhancers	chr5	88179458	88179988	0.00023251952305405	TRUE	1.06145604312098e-05	0.46	0	Inf	4.57038841152789	Inf	q14.3	FALSE	MEF2C	88199922	-	19933	NA	NA	NA
nt_1033	vistaEnhancers	chr6	108435331	108436506	0.0123953683365423	TRUE	1.06145604312098e-05	0.46	0	Inf	4.57038841152789	Inf	q21	FALSE	OSTM1	108395941	-	-39389	NA	NA	NA
nt_1189	vistaEnhancers	chr6	108437244	108438452	4.85477518101055e-08	TRUE	3.10657442506465e-11	0.82	0.04	99.8679694024754	13.2212475876335	4458.66901990027	q21	FALSE	OSTM1	108395941	-	-41302	NA	NA	NA
nt_844	vistaEnhancers	chr7	20832629	20833902	0.000374895951726304	TRUE	3.37249873958826e-06	0.5	0	Inf	5.36109623441605	Inf	p21.1	FALSE	SP8	20826508	-	-6120	SP8	20826508	-
nt_196	vistaEnhancers	chr9	968798	970093	0.000702587423647495	TRUE	4.75972729854876e-05	0.94	0.52	13.8100030443273	3.12315187522886	87.574235005332	p24.3	TRUE	DMRT3	976968	+	-6874	DMRT3	976968	+
nt_112	vistaEnhancers	chr9	973436	975288	2.25223567467663e-08	TRUE	4.59981762113985e-10	0.86	0.12	41.3756238439278	9.26195490731702	273.061448028954	p24.3	TRUE	DMRT3	976968	+	-1679	DMRT3	976968	+
nt_318	vistaEnhancers	chr10	50603806	50605254	7.86894760389714e-09	TRUE	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	q11.23	FALSE	DRGX	50604062	-	0	DRGX	50604062	-
nt_285	vistaEnhancers	chr10	102414916	102415578	0.00113912865053481	TRUE	3.37249873958826e-06	0.5	0	Inf	5.36109623441605	Inf	q24.31	TRUE	PAX2	102505468	+	-89889	NA	NA	NA
nt_286	vistaEnhancers	chr10	102419120	102419731	1.64224221322268e-09	TRUE	8.61856133303128e-09	0.88	0.2	27.259330573859	6.93404903914346	133.312656842309	q24.31	TRUE	PAX2	102505468	+	-85736	NA	NA	NA
nt_935	vistaEnhancers	chr10	119310484	119311458	3.45260614060951e-07	TRUE	9.11547660734116e-08	0.72	0.08	28.0371401800466	5.75768426013574	274.851965904874	q26.11	FALSE	EMX2OS	119304579	-	-5904	EMX2OS	119304579	-
nt_1005	vistaEnhancers	chr10	124902928	124904638	0.000203606410308482	TRUE	9.21720305307553e-06	0.48	0	Inf	4.95137396475962	Inf	q26.13	FALSE	HMX2	124907638	+	-2999	HMX2	124907638	+
nt_482	vistaEnhancers	chr12	115123534	115124174	6.07651221352202e-06	TRUE	4.06861177225983e-07	0.82	0.2	17.2571876056791	4.75823210160273	75.8791283588952	q24.21	TRUE	TBX3	115121969	-	-1564	TBX3	115121969	-
