"id"	"space"	"start"	"end"	"wilcoxon.p.value"	"hyper?"	"fisher.p.value"	"tmr.ratio"	"nor.ratio"	"OR"	"CI_95_L"	"CI_95_H"	"cytoband"	"DM.band?"	"closest.TSS"	"pos.TSS"	"dir"	"dist"
"88.chr1.6268820"	"chr1"	6268821	6269588	1.2806757144433e-06	TRUE	0.000666180067503882	3.5	0.428571428571429	7.80058200721058	2.04443892802632	34.1290612668803	"p36.31"	FALSE	"RNF207"	6266189	"+"	2631
"205.chr1.18956895"	"chr1"	18956896	18959829	1.14537035425161e-06	TRUE	2.79644080144199e-05	5	0.333333333333333	14.0281524465668	3.35488083108322	71.6187856371574	"p36.13"	FALSE	"PAX7"	18957500	"+"	0
"75.chr1.32237827"	"chr1"	32237828	32238661	3.37616592653505e-06	TRUE	1.38783691182407e-08	3	0	Inf	11.0912085887762	Inf	"p35.2"	FALSE	"BAI2"	32229648	"-"	-8179
"77.chr1.38229838"	"chr1"	38229839	38230888	7.26667139538562e-07	TRUE	4.68361346877381e-05	3.5	0.25	13.1689461637165	3.13931371322043	70.4801300305484	"p34.3"	FALSE	"EPHA10"	38230824	"-"	0
"243.chr1.44871109"	"chr1"	44871110	44874047	5.75813055918063e-07	TRUE	6.36562903296682e-08	2.6	0	Inf	9.78276698724936	Inf	"p34.1"	FALSE	"RNF220"	44870960	"+"	149
"175.chr1.46954793"	"chr1"	46954794	46957121	2.80301082625901e-07	TRUE	1.38783691182407e-08	3	0	Inf	11.0912085887762	Inf	"p33"	FALSE	"DMBX1"	46972668	"+"	-15546
"129.chr1.47696504"	"chr1"	47696505	47698197	2.46094531346419e-06	TRUE	3.74132046792307e-07	2	0	Inf	7.72268911579187	Inf	"p33"	FALSE	"TAL1"	47697892	"-"	0
"20.chr1.47899125"	"chr1"	47899126	47899398	1.67082426172136e-08	TRUE	0.000219506579794923	17	1	15.9411082147589	2.77683686377378	172.893971451677	"p33"	FALSE	"FOXD2-AS1"	47900313	"-"	914
"110.chr1.47909712"	"chr1"	47909713	47911020	1.08609886729845e-09	TRUE	1.05141018406727e-08	11	0.176470588235294	53.8920035345838	9.33060452931043	483.771725277404	"p33"	FALSE	"FOXD2"	47901689	"+"	8023
"25.chr1.47915639"	"chr1"	47915640	47915952	1.2806757144433e-06	TRUE	1.97770847758963e-06	1.57142857142857	0	Inf	6.17229073678208	Inf	"p33"	FALSE	"FOXD2"	47901689	"+"	13950
"43.chr1.50880916"	"chr1"	50880917	50881516	4.90702577662228e-09	TRUE	2.93057568107647e-10	5	0	Inf	16.9569384876703	Inf	"p32.3"	FALSE	"DMRTA2"	50889119	"-"	7602
"21.chr1.50881884"	"chr1"	50881885	50882103	2.18820695414927e-07	TRUE	1.13036490555806e-09	4.14285714285714	0	Inf	14.5676380539044	Inf	"p32.3"	FALSE	"DMRTA2"	50889119	"-"	7015
"36.chr1.50882997"	"chr1"	50882998	50883426	1.65501216198394e-10	TRUE	6.76286695633029e-11	6.2	0	Inf	20.0253713604435	Inf	"p32.3"	FALSE	"DMRTA2"	50889119	"-"	5692
"480.chr1.50884228"	"chr1"	50884229	50891471	2.47782428124e-07	TRUE	2.92547647939137e-06	11	0.428571428571429	23.4940234708046	4.74963783719724	167.819998463876	"p32.3"	FALSE	"DMRTA2"	50889119	"-"	0
"60.chr1.50892437"	"chr1"	50892438	50893243	1.82643231877087e-09	TRUE	1.13036490555806e-09	4.14285714285714	0	Inf	14.5676380539044	Inf	"p32.3"	FALSE	"DMRTA2"	50889119	"-"	-3318
"23.chr1.50893468"	"chr1"	50893469	50893745	8.385404969154e-06	TRUE	6.36562903296682e-08	2.6	0	Inf	9.78276698724936	Inf	"p32.3"	FALSE	"DMRTA2"	50889119	"-"	-4349
"561.chr1.63782394"	"chr1"	63782395	63790471	1.53901365535296e-09	TRUE	0.000756429149077466	17	1.22222222222222	13.131566777829	2.25741453598138	143.153570006636	"p31.3"	FALSE	"FOXD3"	63788730	"+"	0
