chr	start	end	shortlist	type	wilcoxon.p.value	hyper.	fisher.p.value	tmr.ratio	nor.ratio	OR	CI_95_L	CI_95_H	cytoband	DM.band?	closest.TSS	pos	dir	dist	overlapped.TSS	overlapped.pos	ovrl.dir
chr1	2177438	2178509	FALSE	NHLF	0.000135824587165955	TRUE	0.000211105795280745	0.66	0.2	7.53414803430194	2.2416209209077	30.3619082193218	p36.33	FALSE	SKI	2160134	+	17303	NA	NA	NA
chr1	2220365	2224899	FALSE	NHLF	0.000203606410308482	TRUE	0.108108108108108	1	0.92	Inf	0.381354828839544	Inf	p36.33	FALSE	LOC100129534	2284100	-	59200	NA	NA	NA
chr1	2230402	2233503	FALSE	NHLF	6.40768672932335e-06	TRUE	0.0182847554777843	0.86	0.6	4.0079882134626	1.14500205911557	14.9341015847225	p36.33	FALSE	LOC100129534	2284100	-	50596	NA	NA	NA
chr1	2777398	2807835	FALSE	H2171	0.00155730791473077	FALSE	1	1	1	0	0	Inf	p36.32	FALSE	TTC34	2706230	-	-71167	NA	NA	NA
chr1	2895922	2902635	FALSE	H2171	0.000861089727659945	FALSE	0.294499979431487	0.92	1	0	0	3.01039873985599	p36.32	FALSE	ACTRT2	2938046	+	-35410	NA	NA	NA
chr1	3013439	3024144	FALSE	H2171	3.99332752415702e-05	FALSE	0.00198271919844313	0.5	0.88	0.139811690054405	0.023793630369294	0.553808753728484	p36.32	FALSE	MIR4251	3044539	+	-20394	NA	NA	NA
chr1	4586361	4589068	FALSE	H2171	0.00620581529656234	FALSE	0.001161773181713	0.44	0.84	0.153517281402936	0.033376604183478	0.546357619158721	p36.32	FALSE	LOC284661	4472111	+	114249	NA	NA	NA
chr1	8062988	8067408	FALSE	H2171	0.000896527112238945	FALSE	0.000660747172908523	0.38	0.8	0.157347633837847	0.0393599337693368	0.525212222824844	p36.23	FALSE	ERRFI1	8086393	-	18984	NA	NA	NA
chr1	8063916	8066094	FALSE	IMR90	0.000108014304686579	FALSE	0.000660747172908523	0.38	0.8	0.157347633837847	0.0393599337693368	0.525212222824844	p36.23	FALSE	ERRFI1	8086393	-	20298	NA	NA	NA
chr1	10694612	10696546	FALSE	HeLa	1.80540938192826e-05	FALSE	0.0105563593890331	0.52	0.84	0.210548347587155	0.0458882492542987	0.750224186678546	p36.22	FALSE	PEX14	10535003	+	159608	NA	NA	NA
